Miasto,Nazwa kierunku,Nazwa uczelni,Procent zdawalności,Ocena absolwentów,Własna ocena sylabusa,Ilość semestrów,Próg rekrutacji,Rodzaj kierunku
Kraków,Kulturoznawstwo,AKADEMIA IGNATIANUM,"84,81862478",5,5,6,33.8,hum
Kraków,Etologia i Psychologia Zwierząt,Uniwersytet Rolniczy,"95,27443724",2,3,6,43.4,hum
Kraków,Filologia Węgierska,Uniwersytet Jagielloński,"98,2589938",3,5,6,41.5,hum
Kraków,Studia Europejskie,Uniwersytet Jagielloński,"95,45174278",4,5,6,60,hum
Kraków,Relacje Międzykulturowe,Uniwersytet Jagielloński,"97,42798958",4,3,6,65,hum
Kraków,Region karpacki: etnolingwistyka i studia kulturowe,Uniwersytet Jagielloński,"98,71287256",2,1,6,	66.75,hum
Kraków,Wiedza o Teatrze,Uniwersytet Jagielloński,"96,16222266",5,2,6,40,hum
Kraków,Turystyka Przygodowa,Akademia Wychowania Fizycznego,"91,31668911",2,3,6,90,hum
Warszawa,Filozofia,Uniwersytet Warszawski,"97,48580359",3,4,6,62.12,hum
Warszawa,Socjologia,Uniwersytet Warszawski,"96,91898357",3,2,6,67,hum
Warszawa,Kognitywistyka,Uniwersytet Warszawski,"98,30123941",4,4,6,65.47,hum
Warszawa,Psychologia,Uniwersytet Warszawski,"98,15315658",2,4,6,77.25,hum
Warszawa,Prawo,Uniwersytet Warszawski,"97,51042365",5,5,6,73.26,hum
Warszawa,Teologia,Chrześcijańska Akademia Teologiczna,"90,29165091",5,4,6,27.3,hum
Wrocław,Archeologia,Uniwersytet Wrocławski,"95,92674617",1,5,6,10.4,hum
Wrocław,Psychologia,Uniwersytet Wrocławski,"97,29986601",4,3,6,85.46,hum
Wrocław,Prawo,Uniwersytet Wrocławski,"97,92056311",3,5,6,60.4,hum
Gdańsk,Iberystyka,Uniwersytet Gdański,"97,83726081",2,1,6,85.5,hum
Gdańsk,Slawistyka,Uniwersytet Gdański,"95,76322562",2,2,6,51.6,hum
Gdańsk,Rosjoznastwo,Uniwersytet Gdański,"95,09106615",2,4,6,70.5,hum
Gdańsk,Praca Socjalna,Uniwersytet Gdański,"79,43283675",2,4,10,78.4,hum
Gdańsk,Etnofilologia Kaszubska,Uniwersytet Gdański,"96,2104403",2,5,6,75.3,hum
Gdańsk,Filologia Romańska,Uniwersytet Gdański,"92,42729554",2,5,6,71.8,hum
Gdańsk,Kryminologia,Uniwersytet Gdański,"95,82760951",2,4,6,89.9,hum
Poznań,Groznawstwo,Uniwersytet im. Adama Mickiewicza,"99,8169652",4,5,6,59,hum
Poznań,Turkologia,Uniwersytet im. Adama Mickiewicza,"99,3856188",5,5,6,40,hum
Poznań,Taniec w Kulturze Fizycznej,AWF im.Eugeniusza Piaseckiego,"91,9461229",4,3,6,35.78,hum
Poznań,Kuratorstwo i Teorie Sztuki,Uniwersytet Artystyczny,"99,8193556",5,1,6,29.8,hum
Lublin,Nauki o rodzinie,Katolicki Uniwersytet Lubelski Jana Pawła II,"99,7546929",5,5,6,17.25,hum
Lublin,Teologia - grupa w języku angielskim (j. ang),Katolicki Uniwersytet Lubelski Jana Pawła II,"98,8437247",5,5,6,100,hum
Łódź,Archeologia,Uniwersytet Łódzki,"79,6229469",3,2,6,"77,9",hum
Łódź,Historia,Uniwersytet Łódzki,"99,6209207",3,3,6,"58,8",hum
Rzeszów,Archeologia,Uniwersytet Rzeszowski,"98,0752697",3,2,6,46,hum
Rzeszów,Kulturoznawstwo,Uniwersytet Rzeszowski,"96,3624059",5,3,6,93,hum
Rzeszów,Socjologia,Uniwersytet Rzeszowski,"93,3917098",4,5,6,85,hum
Rzeszów,Administracja,Uniwersytet Rzeszowski,"99,5666389",5,5,6,33,hum
