Miasto,Nazwa kierunku,Nazwa uczelni,Procent zdawalności,Ocena absolwentów,Własna ocena sylabusa,Ilość semestrów,Próg rekrutacji,Rodzaj kierunku
Warszawa,Kierunek Lekarski,Warszawski Uniwersytet Medyczny,"96,23024254",5,3,12,94,lek
Warszawa,Fizjoterapia,Warszawski Uniwersytet Medyczny,"97,88327926",2,1,10,85.2,lek
Warszawa,Kierunek Lekarsko-Dentystyczny,Warszawski Uniwersytet Medyczny,"98,12267315",4,2,10,93.5,lek
Wrocław,Kierunek lekarski,Uniwersytet Medyczny we Wrocławiu,"82,20281832",3,5,12,83.4,lek
Wrocław,Kierunek Lekarsko-Dentystyczny,Uniwersytet Medyczny we Wrocławiu,"98,44316292",5,5,10,81.3,lek
Wrocław,Położnictwo,Uniwersytet Medyczny we Wrocławiu,"82,75093491",3,3,6,20.45,lek
Gdańsk,Zdrowie Publiczne,Wyższa Szkoła Zdrowia,"95,34700477",2,5,6,77,lek
Poznań,Weterynaria,Uniwersytet Przyrodniczy,"96,1460395",5,1,11,74,lek
Poznań,Fizjoterapia,AWF im.Eugeniusza Piaseckiego,"99,5567418",5,5,10,59,lek
Poznań,Lekarsko-Dentystyczny,Uniwersytet Medyczny,"99,8038861",1,5,10,76,lek
Łódź,Kosmetologia,Uniwersytet Medyczny ,"97,6650426",5,4,6,100,lek
Łódź,Pielęgniarstwo,Uniwersytet Medyczny ,"90,2426734",5,1,6,"71,7",lek
